course_name,year,nr_students
Multivariable control,2018-2019,53
Chimie préparative II,2006-2007,53
Fundamentals of solid-state materials,2015-2016,53
Nanoelectronics,2019-2020,53
Mécanique des milieux continus,2008-2009,53
Modélisation numérique des solides et structures,2019-2020,53
Analyse et gestion de risques,2016-2017,53
Géotechnique et fondations,2004-2005,53
Fonctions et réactions organiques I,2011-2012,53
Fonctionnement des écosystèmes,2006-2007,53
Système d'Information Géographique (SIG),2012-2013,53
Signaux et systèmes I (pour MT),2007-2008,53
Physique du solide II,2006-2007,53
Environmental chemistry,2016-2017,52
Théorie urbaine II,2004-2005,52
"Foncier, immobilier, logement",2014-2015,52
Bioinorganic chemistry,2013-2014,52
Water quality modeling,2007-2008,52
Numerical methods in chemistry,2018-2019,52
Théories et techniques du projet de sauvegarde,2015-2016,52
Industrial automation,2005-2006,52
Image analysis and pattern recognition,2018-2019,52
Hydrodynamics,2019-2020,52
Air pollution and climate change,2015-2016,52
Histoire de l'architecture VIII,2007-2008,52
Hardware systems modeling I,2012-2013,52
L'ingénieur dans R&D industriels II,2004-2005,52
Programmation avancée,2007-2008,52
Foundations of image science,2004-2005,52
VLSI design I,2012-2013,52
Ponts en métal,2013-2014,52
Seminar series on advances in materials,2013-2014,52
Interaction sol-structure,2013-2014,52
First aid - art and architecture after 1940,2015-2016,52
Spectroscopy,2010-2011,52
Structural mechanics (for SV),2014-2015,52
Seismic engineering,2014-2015,52
Geomechanics,2018-2019,52
Industrialisation,2006-2007,52
Structure et architecture,2019-2020,52
Advanced control systems,2012-2013,52
Statistique,2004-2005,52
Physique quantique II,2010-2011,52
Architecture des ordinateurs II,2006-2007,52
Biophysique I,2006-2007,52
Economie spatiale et régionale,2018-2019,52
Time series,2018-2019,52
Analyse et management des risques industriels,2011-2012,52
Thermodynamique et énergétique II,2019-2020,52
Multi-body simulation,2016-2017,52
Water resources engineering,2010-2011,52
Control systems + TP,2013-2014,52
Image processing I,2014-2015,52
Méthodes quantitatives I,2015-2016,52
Etudes d'impact,2015-2016,52
Conversion électromécanique TP,2011-2012,52
Physical models for micro and nanosystems,2008-2009,52
Modèles stochastiques pour les communications,2012-2013,52
UE B : Critique architecturale II,2004-2005,52
Programmation Internet,2005-2006,52
Fonctionnement des écosystèmes,2004-2005,52
TCP/IP networking,2009-2010,52
Méthode des éléments finis,2008-2009,52
Modélisation numérique des solides et structures,2018-2019,52
Arts et histoires de l'environnement,2012-2013,52
Projet de conception,2005-2006,52
Fracture of materials,2015-2016,52
Glass structures and facades,2014-2015,52
Transportation systems engineering,2018-2019,52
Physique statistique I,2007-2008,52
Géologie de la construction et de l'environnement,2015-2016,52
Structure de la matière condensée,2012-2013,52
Ouvrages géotechniques,2018-2019,52
Physique numérique I,2006-2007,52
Signaux et systèmes II (pour MT),2007-2008,52
Introduction à la photonique,2013-2014,52
Droit de la propriété intellectuelle I,2005-2006,52
Droit de la construction pour ingénieurs I,2019-2020,52
Computer vision,2016-2017,52
Chemical kinetics,2010-2011,52
Optical detectors,2016-2017,52
Spectroscopy,2014-2015,52
Etudes d'impact,2019-2020,52
Microinformatique (pour GM),2016-2017,52
Instability,2016-2017,52
Traitement des signaux pour les communications,2004-2005,52
Architecture et construction de la ville II,2008-2009,52
Conception de produits  II,2010-2011,52
Sanitary engineering in developing countries,2010-2011,52
Physique numérique II,2006-2007,52
Laboratoire de physique IIIb,2018-2019,52
Neuroscience for engineers,2019-2020,52
Introduction to computer graphics,2012-2013,52
Systèmes et programmation génétiques,2004-2005,52
Travaux souterrains,2015-2016,51
Résistance des matériaux,2013-2014,51
Physique quantique I,2010-2011,51
Ouvrages géotechniques,2010-2011,51
Fonctions et réactions organiques II,2018-2019,51
Mécanique des fluides compressibles,2011-2012,51
Théories urbaines I,2006-2007,51
Cryptography and security,2013-2014,51
Spectroscopy,2009-2010,51
Coordination chemistry,2018-2019,51
Systèmes mécaniques,2008-2009,51
Computer-aided engineering,2013-2014,51
Engines and fuel cells,2018-2019,51
Développement territorial et urbanisme I,2006-2007,51
Développement territorial et urbanisme I,2007-2008,51
Thermodynamique et énergétique I,2007-2008,51
Lab on app development for tablets and smartphones,2018-2019,51
Numerical flow simulation,2012-2013,51
Intelligent agents,2005-2006,51
Phénomènes de transfert en science des matériaux,2013-2014,51
Topométrie,2004-2005,51
Gestion de production I,2006-2007,51
Cryptography and security,2017-2018,51
Databases,2010-2011,51
Chemical kinetics,2009-2010,51
Méthodes de conception II,2009-2010,51
Principles of digital communications,2016-2017,51
Spatial statistics and analysis,2011-2012,51
Esthétique des ouvrages de génie civil,2010-2011,51
Test of VLSI systems,2013-2014,51
Biological modeling of neural networks,2018-2019,51
Test of VLSI systems,2017-2018,51
Computer vision,2015-2016,51
Digital photography,2007-2008,51
Distributed intelligent systems,2017-2018,51
Cryptography and security,2018-2019,51
Ingénierie des bases de données,2004-2005,51
Neural networks and biological modeling,2005-2006,51
Physique du solide II,2010-2011,51
Introduction au génie chimique II,2014-2015,51
Structure et architecture,2006-2007,51
Physique nucléaire et corpusculaire II,2016-2017,51
Michelangelo and the experience of space,2019-2020,51
Foundations of software,2013-2014,51
Législation du travail au laboratoire,2014-2015,51
Design technologies for integrated systems,2019-2020,51
Mécanique analytique (pour SPH),2008-2009,51
Applied machine learning,2019-2020,51
Introduction to transport phenomena,2017-2018,51
Economie spatiale et régionale,2014-2015,51
Fabrication assistée par ordinateur,2016-2017,51
Introduction to machine learning for bioengineers,2019-2020,51
Géométrie et groupes,2013-2014,51
Mécanique des fluides compressibles,2014-2015,51
Architecture et construction de la ville II,2018-2019,51
Introduction au génie chimique TP,2011-2012,51
Aérodynamique,2012-2013,51
Physique statistique I,2010-2011,51
Composites polymères + TP,2019-2020,51
Social media,2017-2018,51
Histoire des mathématiques II,2004-2005,51
Bases de données,2005-2006,51
Economie hydraulique,2019-2020,51
"Analyse du cycle de vie, écobilan",2014-2015,51
Molecular and cellular biophysics II,2011-2012,51
Chimie physique des interfaces,2007-2008,51
Composants semiconducteurs,2013-2014,51
Chimie organométallique,2011-2012,51
Biometrics,2015-2016,51
Fabrication assistée par ordinateur,2015-2016,51
Espace et lumière II,2006-2007,51
Structures en métal II,2007-2008,51
Water resources engineering,2017-2018,51
Numerical flow simulation,2017-2018,51
Structures en béton,2019-2020,51
Robotics practicals,2015-2016,51
Signaux et systèmes I (pour MT),2013-2014,50
Chimie physique des interfaces,2009-2010,50
Water and wastewater treatment,2011-2012,50
Barrages et ouvrages hydrauliques annexes,2012-2013,50
Théorie et histoire de la représentation II,2004-2005,50
Chimie préparative II,2011-2012,50
Barrages et ouvrages hydrauliques annexes,2016-2017,50
UE H : Un regard sur la nature II,2004-2005,50
Machines électriques (pour GM),2009-2010,50
Quantum chemistry,2018-2019,50
Fonctions et réactions organiques I,2017-2018,50
Chemistry of elements s and p,2008-2009,50
Histoire de l'habitation,2015-2016,50
Electronique,2007-2008,50
Test of VLSI systems,2007-2008,50
Chimie environnementale I,2005-2006,50
Physique statistique I,2006-2007,50
Aérodynamique,2015-2016,50
Physique IV,2008-2009,50
Histoire de l'architecture VIII,2012-2013,50
Réalisation des infrastructures de transport,2008-2009,50
Virtual reality,2005-2006,50
Physique quantique II,2012-2013,50
Optimization for machine learning,2018-2019,50
Modélisation environnementale,2004-2005,50
Electromagnétisme II : calcul des champs,2013-2014,50
"Visionnaires éclectiques. Architectures, 2000-2018",2019-2020,50
Principles of digital communications,2012-2013,50
Chimie TP II,2005-2006,50
Chimie analytique expérimentale,2019-2020,50
Système d'Information Géographique (SIG),2014-2015,50
Architecture et construction de la ville II,2011-2012,50
Advanced computer architecture,2019-2020,50
Products design & systems engineering,2019-2020,50
Mécanique des fluides incompressibles,2008-2009,50
Chimie physique des interfaces,2012-2013,50
TCP/IP networking,2008-2009,50
Fracture of materials,2018-2019,50
Introduction to database systems,2011-2012,50
"Polymères, structures, propriétés",2013-2014,50
Gestion de production II,2004-2005,50
Physique quantique II,2004-2005,50
Engines and fuel cells,2015-2016,50
Ecologie des écosystèmes et du paysage,2004-2005,50
Le projet du confort dans l'architecture du XXe s.,2018-2019,50
"Génie sanitaire, gestion des eaux et des déchets",2011-2012,50
Géotechnique et fondations,2006-2007,50
Ecologie des systèmes industriels,2005-2006,50
Structures en béton I,2005-2006,50
Electrochimie des solutions,2008-2009,50
Graph theory,2017-2018,50
Microcontrôleurs,2006-2007,50
Computer algebra,2014-2015,50
Milieux continus,2013-2014,50
Nanoelectronics,2010-2011,50
Théorie de l'architecture VIII,2007-2008,50
Théorie de l'architecture VIII,2005-2006,50
Structures en métal II,2006-2007,50
Sciences de la ville I,2013-2014,50
Structures en béton II,2006-2007,50
Conversion électromécanique II,2007-2008,50
Advanced nanomaterials,2014-2015,50
Spatial statistics and analysis,2018-2019,50
Economie hydraulique,2013-2014,50
Traitement d'images II,2005-2006,50
Phénomènes de transfert I,2013-2014,50
TP en salle blanche,2011-2012,50
"Médias, communication et culture",2004-2005,50
Méthodes de conception II,2005-2006,50
Applied machine learning,2013-2014,50
Economie spatiale et régionale,2012-2013,50
Numerical flow simulation,2014-2015,50
Concurrent algorithms,2014-2015,50
Sécurité et fiabilité II,2008-2009,50
Microinformatique (pour MT),2006-2007,50
Structures existantes I : Sécurité et durabilité,2006-2007,50
Conception des ponts,2014-2015,50
Environmental transport phenomena,2009-2010,50
Introduction au génie chimique TP,2014-2015,50
Gestion de production II,2006-2007,50
Graph theory,2011-2012,50
Structures existantes I : Sécurité et durabilité,2009-2010,50
Nanoelectronics,2017-2018,50
Systèmes multivariables,2011-2012,50
Procédés de production,2007-2008,50
Microcontrôleurs pour la commande de systèmes mécaniques,2015-2016,50
Conversion électromécanique TP,2010-2011,50
Projet de génie logiciel I,2006-2007,50
Spatial statistics and analysis,2016-2017,50
Topométrie,2005-2006,50
Energy conversion,2014-2015,50
Test of VLSI systems,2019-2020,50
Ville africaine: introduction à la planification,2014-2015,50
Transducteurs et entraînements intégrés,2007-2008,50
Computational physics III,2013-2014,49
Coordination chemistry,2017-2018,49
Advanced metallurgy,2018-2019,49
Renewable energy (for ME),2016-2017,49
"Médias, communication et culture",2005-2006,49
Espace et lumière I,2005-2006,49
Technologie et pratique des matériaux,2011-2012,49
Espace et lumière II,2005-2006,49
Composites polymères + TP,2013-2014,49
Propriétés fonctionnelles des matériaux,2013-2014,49
Etude et analyse des systèmes énergétiques,2018-2019,49
Modèles stochastiques pour les communications,2015-2016,49
Organometallic chemistry,2018-2019,49
Mécanique des milieux continus,2007-2008,49
Ecologie industrielle,2006-2007,49
Méthodes de production,2007-2008,49
Physique des plasmas I,2016-2017,49
Capteurs,2007-2008,49
Bioinorganic chemistry,2007-2008,49
Barrages et ouvrages hydrauliques annexes,2013-2014,49
UE : Environnement et GC,2008-2009,49
Production management,2019-2020,49
Milieux continus,2012-2013,49
Technologie des microstructures I,2007-2008,49
Programmation II,2011-2012,49
Fonctions et réactions organiques II,2008-2009,49
Gestion intégrée des eaux,2009-2010,49
Computer algebra,2013-2014,49
Physique nucléaire et corpusculaire I,2011-2012,49
Architecture et construction de la ville II,2009-2010,49
A network tour of data science,2019-2020,49
Mécanique des fluides compressibles,2012-2013,49
Modélisation des systèmes Énergie et Transports,2006-2007,49
Méthodes quantitatives I,2014-2015,49
Organometallic chemistry,2017-2018,49
System identification,2018-2019,49
Biophysique I,2012-2013,49
Projet de génie logiciel II,2006-2007,49
Ouvrages géotechniques,2019-2020,49
Graph theory,2016-2017,49
Informatique graphique,2009-2010,49
Rhéologie et mécanique des fluides,2013-2014,49
Conception des ponts,2010-2011,49
HF and VHF circuits and techniques I,2012-2013,49
Computer vision,2014-2015,49
Materials science for bioengineers,2018-2019,49
"Signals, instruments and systems",2010-2011,49
Esthétique des ouvrages de génie civil,2011-2012,49
Dynamiques spatiales et acteurs du territoire,2013-2014,49
Materials selection,2014-2015,49
Météorologie,2005-2006,49
TP de Mathématiques,2011-2012,49
Analyse fonctionnelle I,2011-2012,49
Microbiologie et biologie des sols et des eaux,2005-2006,49
Topologie,2018-2019,49
Mécanique vibratoire,2008-2009,49
Chemical kinetics,2012-2013,49
Chimie préparative I,2011-2012,49
Astrophysique I : introduction à l'astrophysique,2008-2009,49
Stochastic processes,2018-2019,49
Sciences de la ville,2016-2017,49
Design industriel et graphique,2004-2005,49
Operating systems,2009-2010,49
Projet de conception,2009-2010,49
Physical models for micro and nanosystems,2019-2020,49
Astrophysique I : introduction à l'astrophysique,2006-2007,49
Physical models for micro and nanosystems,2018-2019,49
Initiation à l'électronique,2004-2005,49
Recycling of materials,2011-2012,49
Thermodynamics for materials science,2013-2014,49
Théorie de l'architecture VIII,2010-2011,49
Time series,2017-2018,49
Spatial statistics and analysis,2009-2010,49
Logique mathématique,2019-2020,48
Signaux et systèmes II (pour MT),2013-2014,48
